,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Risk,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others
46,39,1,2,1,2,0,2299,36,1,0,0,0,0,1,0,0
47,23,0,0,2,2,0,1352,6,1,1,0,0,0,0,0,0
48,39,1,1,1,0,0,7228,11,1,1,0,0,0,0,0,0
49,28,0,2,1,1,0,2073,12,1,0,0,0,0,1,0,0
50,29,1,1,1,0,1,2333,24,1,0,0,0,1,0,0,0
51,30,1,3,1,0,1,5965,27,1,1,0,0,0,0,0,0
52,25,1,2,1,0,0,1262,12,1,0,0,0,0,1,0,0
53,31,1,2,1,0,0,3378,18,1,1,0,0,0,0,0,0
54,57,1,2,0,0,1,2225,36,0,1,0,0,0,0,0,0
55,26,1,1,1,0,0,783,6,1,1,0,0,0,0,0,0
56,52,1,3,1,0,1,6468,12,0,0,0,0,0,1,0,0
57,31,0,2,1,0,0,9566,36,1,0,0,0,0,1,0,0
58,23,0,3,1,0,2,1961,18,1,1,0,0,0,0,0,0
59,23,0,1,2,0,0,6229,36,0,0,0,0,1,0,0,0
60,27,1,2,1,0,1,1391,9,1,0,0,0,0,0,0,0
61,50,1,2,1,0,1,1537,15,1,0,0,0,0,1,0,0
62,61,1,3,0,0,1,1953,36,0,0,0,0,0,0,0,0
63,25,1,2,1,0,1,14421,48,0,0,0,0,0,0,0,0
64,26,0,2,1,0,0,3181,24,1,0,0,0,0,1,0,0
65,48,1,2,1,0,0,5190,27,1,0,0,0,0,0,1,0
66,29,0,2,1,0,0,2171,12,1,0,0,0,0,1,0,0
67,22,1,2,1,3,1,1007,12,1,1,0,0,0,0,0,0
68,37,1,2,0,0,0,1819,36,0,0,0,1,0,0,0,0
69,25,0,2,1,0,0,2394,36,1,0,0,0,0,1,0,0
70,30,0,2,1,0,0,8133,36,1,1,0,0,0,0,0,0
71,46,1,1,2,0,0,730,7,1,0,0,0,0,1,0,0
72,51,1,3,0,0,0,1164,8,1,0,0,0,0,0,0,1
73,41,0,1,1,0,1,5954,42,1,0,0,0,0,0,0,0
74,40,1,3,1,0,0,1977,36,0,0,0,1,0,0,0,0
75,66,1,3,0,0,0,1526,12,1,1,0,0,0,0,0,0
76,34,1,2,1,0,0,3965,42,0,0,0,0,0,1,0,0
77,51,1,2,1,0,1,4771,11,1,0,0,0,0,1,0,0
78,39,1,1,1,0,0,9436,54,1,1,0,0,0,0,0,0
79,22,1,2,1,0,1,3832,30,1,0,0,0,1,0,0,0
80,44,0,2,1,0,0,5943,24,0,0,0,0,0,1,0,0
81,47,1,2,1,2,0,1213,15,1,0,0,0,0,1,0,0
82,24,0,1,2,1,0,1568,18,1,0,0,0,0,0,0,0
83,58,0,1,1,0,0,1755,24,1,0,0,0,0,0,0,1
84,52,1,1,1,0,0,2315,10,1,0,0,0,0,1,0,0
85,29,0,3,1,0,0,1412,12,1,0,0,0,0,0,0,0
86,27,0,2,1,0,1,1295,18,1,0,0,0,1,0,0,0
87,47,1,2,0,1,1,12612,36,0,0,0,1,0,0,0,0
88,30,1,3,1,1,0,2249,18,1,1,0,0,0,0,0,0
89,28,1,2,1,0,0,1108,12,0,0,0,0,0,0,1,0
90,56,1,2,1,0,0,618,12,1,0,0,0,0,1,0,0
91,54,1,2,1,0,0,1409,12,1,1,0,0,0,0,0,0
92,33,0,1,1,0,0,797,12,0,0,0,0,0,1,0,0
93,20,1,2,2,0,2,3617,24,1,0,0,0,1,0,0,0
94,54,1,2,1,3,1,1318,12,1,1,0,0,0,0,0,0
95,58,1,2,2,0,1,15945,54,0,0,0,0,0,0,0,0
96,61,0,2,1,0,0,2012,12,1,0,0,1,0,0,0,0
97,34,1,2,1,1,1,2622,18,1,0,0,0,0,0,0,0
98,36,1,2,1,0,1,2337,36,1,0,0,0,0,1,0,0
99,36,1,3,2,0,1,7057,20,1,1,0,0,0,0,0,0
100,41,1,1,2,1,0,1469,24,1,1,0,0,0,0,0,0
101,24,1,2,2,0,1,2323,36,1,0,0,0,0,1,0,0
102,24,0,2,1,0,0,932,6,1,0,0,0,0,1,0,0
103,35,1,2,2,0,1,1919,9,1,0,0,0,1,0,0,0
104,26,1,2,2,0,0,2445,12,1,1,0,0,0,0,0,0
105,39,1,3,1,0,1,11938,24,0,0,0,0,0,0,0,1
106,39,1,3,1,0,0,6458,18,0,1,0,0,0,0,0,0
107,32,1,2,1,0,1,6078,12,1,1,0,0,0,0,0,0
108,30,0,2,1,0,0,7721,24,1,0,0,0,1,0,0,0
109,35,1,2,1,2,1,1410,14,1,0,0,0,0,0,0,0
110,31,1,2,1,1,1,1449,6,1,0,0,0,0,0,0,0
111,23,0,2,2,0,2,392,15,1,0,0,1,0,0,0,0
112,28,1,1,2,0,1,6260,18,1,1,0,0,0,0,0,0
113,25,0,2,1,0,0,7855,36,0,1,0,0,0,0,0,0
114,35,1,2,1,2,0,1680,12,1,0,0,0,0,1,0,0
115,47,1,2,1,0,0,3578,48,1,0,0,0,0,1,0,0
116,30,0,3,1,0,0,7174,42,0,0,0,0,0,1,0,0
117,27,0,2,2,0,0,2132,10,1,0,0,0,1,0,0,0
118,23,0,2,1,2,0,4281,33,0,0,0,0,1,0,0,0
119,36,1,3,1,2,1,2366,12,1,1,0,0,0,0,0,0
120,25,0,2,1,0,0,1835,21,0,0,0,0,0,1,0,0
121,41,0,3,2,0,0,3868,24,1,1,0,0,0,0,0,0
122,24,1,1,2,0,0,1768,12,1,0,0,0,1,0,0,0
123,63,1,2,0,0,2,781,10,1,1,0,0,0,0,0,0
124,27,0,2,2,0,1,1924,18,0,0,0,0,1,0,0,0
125,30,1,2,1,0,0,2121,12,1,1,0,0,0,0,0,0
126,40,1,1,1,0,0,701,12,1,0,0,0,0,1,0,0
127,30,1,2,1,0,1,639,12,0,0,0,0,0,0,1,0
128,34,1,3,1,0,1,1860,12,1,1,0,0,0,0,0,0
129,29,0,2,1,0,0,3499,12,0,1,0,0,0,0,0,0
130,24,0,2,1,0,1,8487,48,1,1,0,0,0,0,0,0
131,29,1,2,1,0,0,6887,36,0,0,0,1,0,0,0,0
132,27,1,1,1,0,0,2708,15,1,0,0,0,1,0,0,0
133,47,1,2,0,0,0,1984,18,1,0,0,0,1,0,0,0
134,21,0,2,1,1,0,10144,60,1,0,0,0,0,1,0,0
135,38,0,2,1,0,0,1240,12,1,0,0,0,0,1,0,0
136,27,1,2,1,3,0,8613,27,1,1,0,0,0,0,0,0
137,66,1,1,1,2,1,766,12,0,0,0,0,0,1,0,0
138,35,1,2,1,0,1,2728,15,1,0,0,0,0,1,0,0
139,44,0,1,2,0,2,1881,12,1,0,0,0,0,1,0,0
140,27,1,0,1,3,2,709,6,1,1,0,0,0,0,0,0
141,30,0,3,1,0,1,4795,36,1,0,0,0,0,1,0,0
142,27,1,3,1,0,0,3416,27,1,0,0,0,0,1,0,0
143,22,1,2,1,0,0,2462,18,0,0,0,0,1,0,0,0
144,23,0,2,1,0,0,2288,21,1,0,0,0,1,0,0,0
145,30,1,2,1,1,1,3566,48,1,0,0,0,0,0,0,0
146,39,0,2,1,0,0,860,6,1,1,0,0,0,0,0,0
147,51,0,2,1,1,0,682,12,1,1,0,0,0,0,0,0
148,28,1,2,1,0,0,5371,36,1,0,0,0,1,0,0,0
149,46,1,2,1,3,0,1582,18,1,0,0,0,0,1,0,0
150,42,1,2,0,1,0,1346,6,1,0,0,0,0,1,0,0
151,38,1,2,1,0,0,1924,10,1,0,0,0,0,1,0,0
152,24,1,2,1,0,2,5848,36,1,0,0,0,0,1,0,0
153,29,0,2,2,3,1,7758,24,1,1,0,0,0,0,0,0
154,36,1,3,2,1,1,6967,24,1,0,0,0,0,0,0,0
155,20,0,2,2,0,0,1282,12,0,0,0,0,1,0,0,0
156,48,1,2,1,1,0,1288,9,1,0,0,0,0,0,1,0
157,45,1,1,1,0,0,339,12,1,0,0,1,0,0,0,0
158,38,1,2,1,1,1,3512,24,1,1,0,0,0,0,0,0
159,34,1,1,1,0,0,1898,6,1,0,0,0,0,1,0,0
160,36,1,2,1,1,0,2872,24,1,0,0,0,0,1,0,0
161,30,0,2,1,0,0,1055,18,1,1,0,0,0,0,0,0
162,36,1,2,1,2,0,1262,15,1,0,1,0,0,0,0,0
163,70,1,3,0,0,1,7308,10,1,1,0,0,0,0,0,0
164,36,1,2,1,2,0,909,36,1,1,0,0,0,0,0,0
165,32,1,2,1,2,0,2978,6,1,0,0,0,1,0,0,0
166,33,0,2,1,0,0,1131,18,0,0,0,0,1,0,0,0
167,20,0,2,1,3,1,1577,11,1,0,0,0,1,0,0,0
168,25,0,2,2,0,0,3972,24,1,0,0,0,1,0,0,0
169,31,1,2,1,0,1,1935,24,0,0,0,0,0,0,0,0
170,33,1,2,2,0,0,950,15,0,1,0,0,0,0,0,0
171,26,0,2,1,0,0,763,12,1,0,0,0,1,0,0,0
172,34,0,3,1,0,1,2064,24,0,0,0,0,1,0,0,0
173,33,1,2,1,0,1,1414,8,1,0,0,0,0,1,0,0
174,26,1,2,1,0,0,3414,21,0,0,0,1,0,0,0,0
175,53,0,3,1,0,0,7485,30,0,1,0,0,0,0,0,0
176,42,1,2,1,0,0,2577,12,1,0,0,0,1,0,0,0
177,52,1,2,1,2,0,338,6,1,0,0,0,0,1,0,0
178,31,1,3,2,0,0,1963,12,1,0,0,0,0,1,0,0
179,65,1,2,1,0,0,571,21,1,1,0,0,0,0,0,0
180,28,1,2,1,0,0,9572,36,0,0,0,0,0,0,0,0
181,30,1,3,1,0,1,4455,36,0,0,0,0,0,0,0,0
182,40,1,1,1,0,0,1647,21,0,1,0,0,0,0,0,0
183,50,1,2,1,3,0,3777,24,1,0,0,0,1,0,0,0
184,36,1,2,1,0,1,884,18,0,1,0,0,0,0,0,0
185,31,1,2,1,0,0,1360,15,1,0,0,0,0,1,0,0
186,74,0,3,0,0,1,5129,9,0,1,0,0,0,0,0,0
187,68,1,0,0,0,1,1175,16,1,1,0,0,0,0,0,0
188,20,1,2,1,1,0,674,12,0,0,0,0,0,1,0,0
189,33,0,2,1,0,1,3244,18,1,0,0,0,1,0,0,0
190,54,1,3,1,3,0,4591,24,0,0,0,0,0,0,0,0
191,34,1,1,0,1,1,3844,48,0,0,0,0,0,0,0,0
192,36,1,2,1,0,1,3915,27,0,0,0,0,0,0,0,0
193,29,1,2,2,0,0,2108,6,1,0,0,0,0,1,0,0
194,21,1,2,2,1,1,3031,45,0,0,0,0,0,1,0,0
195,34,0,3,1,0,1,1501,9,0,0,0,1,0,0,0,0
196,28,0,2,1,0,0,1382,6,1,0,0,0,0,1,0,0
197,27,0,2,2,1,1,951,12,0,0,0,0,1,0,0,0
198,36,1,2,0,0,1,2760,24,1,1,0,0,0,0,0,0
199,40,1,3,1,0,1,4297,18,0,0,0,0,1,0,0,0
200,52,1,2,1,2,0,936,9,1,0,0,1,0,0,0,0
201,27,1,1,1,0,0,1168,12,1,1,0,0,0,0,0,0
202,26,1,2,1,0,0,5117,27,1,0,0,0,0,0,0,0
203,21,1,2,2,0,0,902,12,0,0,0,1,0,0,0,0
204,38,1,1,1,0,0,1495,12,1,1,0,0,0,0,0,0
205,38,1,3,0,0,0,10623,30,1,1,0,0,0,0,0,0
206,43,1,2,1,0,0,1935,12,1,0,0,0,1,0,0,0
207,26,1,2,1,0,1,1424,12,1,0,1,0,0,0,0,0
208,21,1,1,1,0,0,6568,24,1,0,0,0,0,0,0,0
209,55,1,2,1,3,0,1413,12,1,1,0,0,0,0,0,0
210,33,1,2,1,0,0,3074,9,1,0,0,0,0,1,0,0
211,45,0,1,1,0,0,3835,36,1,0,0,0,0,1,0,0
212,50,1,2,1,0,0,5293,27,0,0,0,0,0,0,0,0
213,66,1,3,1,0,2,1908,30,0,0,0,0,0,0,0,0
214,51,1,2,1,0,0,3342,36,1,0,0,0,0,1,0,0
215,39,0,1,1,0,1,932,6,1,0,0,1,0,0,0,0
216,31,1,2,1,0,0,3104,18,1,0,0,0,0,0,0,0
217,23,1,2,1,0,2,3913,36,1,0,0,0,0,1,0,0
218,24,1,1,2,0,0,3021,24,1,0,0,0,1,0,0,0
219,64,0,2,1,0,0,1364,10,1,1,0,0,0,0,0,0
220,26,1,1,1,0,1,625,12,1,0,0,0,0,1,0,0
221,23,0,2,2,0,0,1200,12,1,0,0,1,0,0,0,0
222,30,1,2,1,0,0,707,12,1,0,0,0,0,1,0,0
223,32,1,2,1,0,0,2978,24,1,0,0,0,0,0,0,0
224,30,1,2,1,0,0,4657,15,1,1,0,0,0,0,0,0
225,27,1,2,1,0,0,2613,36,1,0,0,0,0,0,1,0
226,27,1,2,1,3,1,10961,48,0,0,0,0,0,1,0,0
227,53,1,3,0,0,0,7865,12,0,0,0,0,1,0,0,0
228,22,1,2,1,0,0,1478,9,0,0,0,0,0,1,0,0
229,22,1,2,0,0,0,3149,24,1,0,0,0,1,0,0,0
230,26,1,2,1,0,2,4210,36,0,0,0,0,0,1,0,0
231,51,1,1,0,2,0,2507,9,1,1,0,0,0,0,0,0
232,35,1,2,1,1,0,2141,12,1,0,0,0,0,1,0,0
233,25,1,1,1,0,1,866,18,1,0,0,0,0,1,0,0
234,42,1,1,1,0,0,1544,4,1,0,0,0,0,1,0,0
235,30,1,3,1,0,0,1823,24,0,0,0,0,0,1,0,0
236,23,1,0,1,0,1,14555,6,0,1,0,0,0,0,0,0
237,61,1,1,2,1,1,2767,21,0,0,0,0,0,0,0,0
238,35,0,2,1,0,0,1291,12,1,0,0,0,0,1,0,0
239,39,1,2,1,0,0,2522,30,1,0,0,0,0,1,0,0
240,29,0,2,1,0,0,915,24,0,1,0,0,0,0,0,0
241,51,1,2,1,0,0,1595,6,1,0,0,0,0,1,0,0
242,24,1,2,0,0,0,4605,48,0,1,0,0,0,0,0,0
243,27,0,2,1,0,0,1185,12,1,0,0,0,0,0,0,0
244,35,0,1,1,2,0,3447,12,1,0,0,1,0,0,0,0
245,25,1,2,1,0,0,1258,24,1,0,0,0,0,0,0,0
246,52,1,2,1,0,0,717,12,1,0,0,0,0,1,0,0
247,35,1,2,2,1,0,1204,6,1,1,0,0,0,0,0,0
248,26,1,2,1,0,2,1925,24,1,0,0,0,1,0,0,0
249,22,0,2,2,0,0,433,18,0,0,0,0,0,1,0,0
250,39,0,1,1,3,0,666,6,1,1,0,0,0,0,0,0
251,46,0,1,1,0,2,2251,12,1,0,0,0,1,0,0,0
252,24,0,2,1,0,1,2150,30,0,1,0,0,0,0,0,0
253,35,1,2,1,1,0,4151,24,1,0,0,0,1,0,0,0
254,24,1,2,1,0,1,2030,9,1,0,0,0,1,0,0,0
255,27,1,1,1,0,1,7418,60,1,0,0,0,0,1,0,0
256,35,1,1,1,0,0,2684,24,1,0,0,0,0,1,0,0
257,29,1,2,0,0,0,2149,12,0,0,0,0,0,1,0,0
258,23,0,2,1,1,0,3812,15,1,1,0,0,0,0,0,0
259,57,0,1,1,1,0,1154,11,1,0,0,0,0,1,0,0
260,27,1,2,1,0,0,1657,12,1,0,0,0,1,0,0,0
261,55,0,2,1,0,0,1603,24,1,0,0,0,0,1,0,0
262,36,1,3,0,0,0,5302,18,1,1,0,0,0,0,0,0
263,57,0,1,0,0,0,2748,12,1,0,0,1,0,0,0,0
264,32,1,1,1,0,0,1231,10,1,1,0,0,0,0,0,0
265,37,1,2,1,0,1,802,15,0,0,0,0,0,1,0,0
266,36,1,2,1,0,0,6304,36,1,0,0,0,0,0,0,0
267,38,0,2,1,0,0,1533,24,1,0,0,0,0,1,0,0
268,45,1,3,1,0,0,8978,14,0,1,0,0,0,0,0,0
269,25,1,2,1,0,0,999,24,1,0,0,0,0,1,0,0
270,32,1,2,1,0,0,2662,18,1,1,0,0,0,0,0,0
271,37,0,2,2,2,0,1402,12,1,0,0,0,1,0,0,0
272,36,1,3,0,0,1,12169,48,1,1,0,0,0,0,0,0
273,28,1,2,1,0,1,3060,48,0,0,0,0,0,1,0,0
274,34,1,1,1,0,0,11998,30,0,0,0,0,0,0,1,0
275,32,1,2,1,0,0,2697,9,1,0,0,0,0,1,0,0
276,26,0,2,1,0,0,2404,18,1,0,0,0,0,1,0,0
277,49,1,1,1,0,0,1262,12,1,0,0,0,1,0,0,0
278,32,0,2,1,0,0,4611,6,0,0,0,0,1,0,0,0
279,29,1,3,2,1,0,1901,24,1,0,0,0,0,1,0,0
280,23,1,2,2,3,0,3368,15,1,1,0,0,0,0,0,0
281,50,1,2,1,0,0,1574,12,1,0,0,0,1,0,0,0
282,49,1,1,1,0,2,1445,18,1,0,0,0,0,1,0,0
283,63,1,2,1,0,0,1520,15,1,0,0,0,1,0,0,0
284,37,1,2,1,1,1,3878,24,1,1,0,0,0,0,0,0
285,35,0,1,1,0,0,10722,47,1,1,0,0,0,0,0,0
286,26,1,2,1,0,0,4788,48,1,1,0,0,0,0,0,0
287,31,1,3,0,1,1,7582,48,1,0,0,0,0,0,0,1
288,49,0,2,1,0,1,1092,12,1,0,0,0,0,1,0,0
289,48,1,2,1,0,0,1024,24,0,0,0,0,0,1,0,0
290,26,1,2,1,0,0,1076,12,1,0,0,0,0,0,0,0
291,28,1,3,2,0,1,9398,36,0,1,0,0,0,0,0,0
292,44,0,3,0,0,0,6419,24,1,1,0,0,0,0,0,0
293,56,1,2,0,0,2,4796,42,1,1,0,0,0,0,0,0
294,46,1,3,1,0,0,7629,48,1,0,0,0,0,0,0,0
295,26,0,2,1,0,1,9960,48,0,0,0,0,1,0,0,0
296,20,0,2,2,0,0,4675,12,1,1,0,0,0,0,0,0
297,45,1,1,1,0,0,1287,10,1,1,0,0,0,0,0,0
298,43,1,2,1,0,0,2515,18,1,0,0,0,1,0,0,0
299,32,1,2,1,3,1,2745,21,1,0,0,0,1,0,0,0
300,54,0,0,1,0,0,672,6,1,1,0,0,0,0,0,0
301,42,0,2,1,0,1,3804,36,0,0,0,0,0,1,0,0
302,37,1,1,1,0,2,1344,24,0,1,0,0,0,0,0,0
303,49,1,2,1,0,0,1038,10,1,1,0,0,0,0,0,0
304,44,1,2,0,2,0,10127,48,0,1,0,0,0,0,0,0
305,33,1,2,1,3,0,1543,6,1,0,0,0,1,0,0,0
306,24,0,1,2,0,0,4811,30,1,1,0,0,0,0,0,0
307,33,1,1,1,1,0,727,12,0,0,0,0,0,1,0,0
308,24,0,2,1,0,1,1237,8,0,0,0,0,1,0,0,0
309,22,1,1,2,0,1,276,9,1,1,0,0,0,0,0,0
310,40,1,0,0,0,1,5381,48,1,0,0,0,0,0,0,1
311,25,1,2,1,1,0,5511,24,1,0,0,0,1,0,0,0
312,26,0,2,1,0,2,3749,24,1,0,0,0,1,0,0,0
313,25,1,1,1,0,1,685,12,0,1,0,0,0,0,0,0
314,29,1,1,1,0,2,1494,4,1,1,0,0,0,0,0,0
315,31,1,2,1,0,0,2746,36,0,0,0,0,1,0,0,0
316,38,1,1,1,0,0,708,12,1,0,0,0,1,0,0,0
317,48,0,1,1,0,1,4351,24,1,0,0,0,1,0,0,0
318,32,1,2,1,0,0,701,12,1,0,0,1,0,0,0,0
319,27,0,1,1,0,0,3643,15,1,0,0,0,1,0,0,0
320,28,1,3,1,0,1,4249,30,0,1,0,0,0,0,0,0
321,32,1,2,1,0,0,1938,24,0,0,0,0,0,1,0,0
322,34,1,3,0,0,0,2910,24,1,1,0,0,0,0,0,0
323,28,1,2,1,3,0,2659,18,1,0,0,0,1,0,0,0
324,36,0,2,1,0,0,1028,18,1,1,0,0,0,0,0,0
325,39,1,1,1,0,0,3398,8,1,1,0,0,0,0,0,0
326,49,1,2,2,0,0,5801,12,1,0,0,0,1,0,0,0
327,34,0,2,1,3,0,1525,24,1,1,0,0,0,0,0,0
328,31,1,2,1,0,2,4473,36,1,0,0,0,0,1,0,0
329,28,1,2,1,0,1,1068,6,1,0,0,0,0,1,0,0
330,75,1,3,0,0,0,6615,24,1,1,0,0,0,0,0,0
331,30,0,2,1,1,0,1864,18,0,0,0,1,0,0,0,0
332,24,0,3,1,1,1,7408,60,0,1,0,0,0,0,0,0
333,24,0,1,2,1,0,11590,48,0,1,0,0,0,0,0,0
334,23,1,2,2,0,0,4110,24,0,0,0,0,1,0,0,0
335,44,1,3,2,0,0,3384,6,0,0,0,0,1,0,0,0
336,23,0,1,1,0,1,2101,13,1,0,0,0,0,1,0,0
337,24,0,2,2,0,0,1275,15,0,0,1,0,0,0,0,0
338,28,1,2,1,0,0,4169,24,1,0,0,0,1,0,0,0
339,31,1,1,1,0,1,1521,10,1,0,0,0,1,0,0,0
340,24,0,2,0,0,1,5743,24,1,0,0,1,0,0,0,0
341,26,0,1,2,0,0,3599,21,1,0,0,0,1,0,0,0
342,25,1,2,2,2,1,3213,18,1,0,0,0,0,1,0,0
343,33,1,3,1,0,1,4439,18,1,0,0,0,0,0,0,0
344,37,1,1,1,0,2,3949,10,1,1,0,0,0,0,0,0
345,43,0,1,1,0,0,1459,15,1,0,0,0,0,1,0,0
346,23,1,2,1,0,1,882,13,1,0,0,0,0,1,0,0
347,23,0,0,2,2,1,3758,24,1,0,0,0,0,1,0,0
348,34,1,1,1,1,0,1743,6,1,0,0,0,0,0,0,0
349,32,1,2,0,3,1,1136,9,0,0,0,1,0,0,0,0
350,23,0,2,2,0,0,1236,9,1,0,1,0,0,0,0,0
351,29,0,2,1,0,1,959,9,0,0,0,0,1,0,0,0
352,38,1,3,1,0,0,3229,18,1,1,0,0,0,0,0,0
353,28,1,2,2,0,0,6199,12,0,0,0,0,0,1,0,0
354,46,1,2,0,2,0,727,10,1,0,0,1,0,0,0,0
355,23,1,1,1,0,1,1246,24,0,1,0,0,0,0,0,0
356,49,1,2,1,0,0,2331,12,1,0,0,0,0,1,0,0
357,26,1,3,1,0,0,4463,36,0,0,0,0,0,1,0,0
358,28,1,2,1,0,0,776,12,1,0,0,0,0,1,0,0
359,23,0,2,2,0,0,2406,30,0,0,0,0,1,0,0,0
360,61,1,2,0,0,1,1239,18,1,0,0,1,0,0,0,0
361,37,1,3,1,0,2,3399,12,1,0,0,0,0,1,0,0
362,36,0,2,1,0,2,2247,12,1,1,0,0,0,0,0,0
363,21,1,2,2,0,0,1766,6,1,0,0,0,1,0,0,0
364,25,1,0,1,0,0,2473,18,0,0,0,0,1,0,0,0
365,36,1,2,1,0,0,1542,12,1,0,0,0,0,0,0,0
366,27,1,2,1,0,0,3850,18,1,1,0,0,0,0,0,0
367,22,0,2,2,0,0,3650,18,1,0,0,0,1,0,0,0
368,42,1,2,1,0,0,3446,36,0,0,0,0,1,0,0,0
369,40,0,2,2,0,1,3001,18,1,0,0,0,1,0,0,0
370,36,1,2,1,0,0,3079,36,1,1,0,0,0,0,0,0
371,33,1,2,1,0,0,6070,18,1,0,0,0,0,1,0,0
372,23,0,2,2,0,0,2146,10,1,0,0,0,1,0,0,0
373,63,1,3,0,0,0,13756,60,1,1,0,0,0,0,0,0
374,60,0,3,0,1,1,14782,60,0,0,0,0,0,0,0,1
375,37,0,2,2,0,0,7685,48,0,0,0,0,0,0,0,0
376,34,1,2,1,0,0,2320,18,1,0,0,0,0,1,0,0
377,36,1,2,0,0,0,846,7,1,0,0,0,0,1,0,0
378,57,1,3,0,0,1,14318,36,0,1,0,0,0,0,0,0
379,52,0,1,1,1,0,362,6,1,1,0,0,0,0,0,0
380,39,1,2,1,0,0,2212,20,1,0,0,0,1,0,0,0
381,38,0,3,0,0,1,12976,18,0,1,0,0,0,0,0,0
382,25,0,2,2,0,0,1283,22,1,1,0,0,0,0,0,0
383,26,1,2,1,0,2,1330,12,1,1,0,0,0,0,0,0
384,26,1,1,1,1,0,4272,30,1,0,0,0,0,0,0,0
385,25,0,2,1,0,0,2238,18,1,0,0,0,0,1,0,0
386,21,0,2,2,0,0,1126,18,1,0,0,0,0,1,0,0
387,40,1,3,1,0,1,7374,18,1,0,0,0,1,0,0,0
388,27,1,2,1,2,1,2326,15,1,0,0,0,0,0,0,0
389,27,0,2,1,0,0,1449,9,1,0,0,0,0,0,0,0
390,30,1,3,1,0,0,1820,18,1,1,0,0,0,0,0,0
391,19,0,1,2,3,1,983,12,1,0,0,0,1,0,0,0
392,39,1,3,0,0,0,3249,36,1,1,0,0,0,0,0,0
393,31,0,2,1,0,0,1957,6,1,0,0,0,0,1,0,0
394,31,1,3,1,0,0,2406,9,1,0,0,0,1,0,0,0
